============================================================
RELATORIO - INPUT_BUFFER PREPARE / GO - 32 BITS
MIF: DEPTH=32768 WIDTH=32 ENDERECOS 0000..1FFF
============================================================

============================================================
TC1 - PREPARE / READY / GO / STREAM
DEPTH=32768 REPEAT_COUNT=2 TOTAL=65536
============================================================
[READY] bloco pronto no ciclo 11
[CHECK] verificando se nao transmite antes do go...
[CHECK] PASS - nenhuma saida antes do go
ciclo=18 rep=0 addr=0000 data=89abcdef esperado=89abcdef PASS
ciclo=19 rep=0 addr=0001 data=76543210 esperado=76543210 PASS
ciclo=20 rep=0 addr=0002 data=55667788 esperado=55667788 PASS
ciclo=21 rep=0 addr=0003 data=44332211 esperado=44332211 PASS
ciclo=22 rep=0 addr=0004 data=eeff0011 esperado=eeff0011 PASS
ciclo=23 rep=0 addr=0005 data=ddccbbaa esperado=ddccbbaa PASS
ciclo=24 rep=0 addr=0006 data=cafebabe esperado=cafebabe PASS
ciclo=25 rep=0 addr=0007 data=deadbeef esperado=deadbeef PASS
ciclo=26 rep=0 addr=0008 data=0f0f0f0f esperado=0f0f0f0f PASS
ciclo=27 rep=0 addr=0009 data=f0f0f0f0 esperado=f0f0f0f0 PASS
ciclo=28 rep=0 addr=000a data=aaaaaaaa esperado=aaaaaaaa PASS
ciclo=29 rep=0 addr=000b data=55555555 esperado=55555555 PASS
ciclo=30 rep=0 addr=000c data=ffffffff esperado=ffffffff PASS
ciclo=31 rep=0 addr=000d data=00000001 esperado=00000001 PASS
ciclo=32 rep=0 addr=000e data=00000000 esperado=00000000 PASS
ciclo=33 rep=0 addr=000f data=00000000 esperado=00000000 PASS
ciclo=34 rep=0 addr=0010 data=00000000 esperado=00000000 PASS
ciclo=35 rep=0 addr=0011 data=00000000 esperado=00000000 PASS
ciclo=36 rep=0 addr=0012 data=00000000 esperado=00000000 PASS
ciclo=37 rep=0 addr=0013 data=00000000 esperado=00000000 PASS
ciclo=38 rep=0 addr=0014 data=00000000 esperado=00000000 PASS
ciclo=39 rep=0 addr=0015 data=00000000 esperado=00000000 PASS
ciclo=40 rep=0 addr=0016 data=00000000 esperado=00000000 PASS
ciclo=41 rep=0 addr=0017 data=00000000 esperado=00000000 PASS
ciclo=42 rep=0 addr=0018 data=00000000 esperado=00000000 PASS
ciclo=43 rep=0 addr=0019 data=00000000 esperado=00000000 PASS
ciclo=44 rep=0 addr=001a data=00000000 esperado=00000000 PASS
ciclo=45 rep=0 addr=001b data=00000000 esperado=00000000 PASS
ciclo=46 rep=0 addr=001c data=00000000 esperado=00000000 PASS
ciclo=47 rep=0 addr=001d data=00000000 esperado=00000000 PASS
ciclo=48 rep=0 addr=001e data=00000000 esperado=00000000 PASS
ciclo=49 rep=0 addr=001f data=00000000 esperado=00000000 PASS
ciclo=50 rep=0 addr=0020 data=00000000 esperado=00000000 PASS
ciclo=51 rep=0 addr=0021 data=00000000 esperado=00000000 PASS
ciclo=52 rep=0 addr=0022 data=00000000 esperado=00000000 PASS
ciclo=53 rep=0 addr=0023 data=00000000 esperado=00000000 PASS
ciclo=54 rep=0 addr=0024 data=00000000 esperado=00000000 PASS
ciclo=55 rep=0 addr=0025 data=00000000 esperado=00000000 PASS
ciclo=56 rep=0 addr=0026 data=00000000 esperado=00000000 PASS
ciclo=57 rep=0 addr=0027 data=00000000 esperado=00000000 PASS
ciclo=58 rep=0 addr=0028 data=00000000 esperado=00000000 PASS
ciclo=59 rep=0 addr=0029 data=00000000 esperado=00000000 PASS
ciclo=60 rep=0 addr=002a data=00000000 esperado=00000000 PASS
ciclo=61 rep=0 addr=002b data=00000000 esperado=00000000 PASS
ciclo=62 rep=0 addr=002c data=00000000 esperado=00000000 PASS
ciclo=63 rep=0 addr=002d data=00000000 esperado=00000000 PASS
ciclo=64 rep=0 addr=002e data=00000000 esperado=00000000 PASS
ciclo=65 rep=0 addr=002f data=00000000 esperado=00000000 PASS
ciclo=66 rep=0 addr=0030 data=00000000 esperado=00000000 PASS
ciclo=67 rep=0 addr=0031 data=00000000 esperado=00000000 PASS
ciclo=68 rep=0 addr=0032 data=00000000 esperado=00000000 PASS
ciclo=69 rep=0 addr=0033 data=00000000 esperado=00000000 PASS
ciclo=70 rep=0 addr=0034 data=00000000 esperado=00000000 PASS
ciclo=71 rep=0 addr=0035 data=00000000 esperado=00000000 PASS
ciclo=72 rep=0 addr=0036 data=00000000 esperado=00000000 PASS
ciclo=73 rep=0 addr=0037 data=00000000 esperado=00000000 PASS
ciclo=74 rep=0 addr=0038 data=00000000 esperado=00000000 PASS
ciclo=75 rep=0 addr=0039 data=00000000 esperado=00000000 PASS
ciclo=76 rep=0 addr=003a data=00000000 esperado=00000000 PASS
ciclo=77 rep=0 addr=003b data=00000000 esperado=00000000 PASS
ciclo=78 rep=0 addr=003c data=00000000 esperado=00000000 PASS
ciclo=79 rep=0 addr=003d data=00000000 esperado=00000000 PASS
ciclo=80 rep=0 addr=003e data=00000000 esperado=00000000 PASS
ciclo=81 rep=0 addr=003f data=00000000 esperado=00000000 PASS
ciclo=82 rep=0 addr=0040 data=00000000 esperado=00000000 PASS
ciclo=83 rep=0 addr=0041 data=00000000 esperado=00000000 PASS
ciclo=84 rep=0 addr=0042 data=00000000 esperado=00000000 PASS
ciclo=85 rep=0 addr=0043 data=00000000 esperado=00000000 PASS
ciclo=86 rep=0 addr=0044 data=00000000 esperado=00000000 PASS
ciclo=87 rep=0 addr=0045 data=00000000 esperado=00000000 PASS
ciclo=88 rep=0 addr=0046 data=00000000 esperado=00000000 PASS
ciclo=89 rep=0 addr=0047 data=00000000 esperado=00000000 PASS
ciclo=90 rep=0 addr=0048 data=00000000 esperado=00000000 PASS
ciclo=91 rep=0 addr=0049 data=00000000 esperado=00000000 PASS
ciclo=92 rep=0 addr=004a data=00000000 esperado=00000000 PASS
ciclo=93 rep=0 addr=004b data=00000000 esperado=00000000 PASS
ciclo=94 rep=0 addr=004c data=00000000 esperado=00000000 PASS
ciclo=95 rep=0 addr=004d data=00000000 esperado=00000000 PASS
ciclo=96 rep=0 addr=004e data=00000000 esperado=00000000 PASS
ciclo=97 rep=0 addr=004f data=00000000 esperado=00000000 PASS
ciclo=98 rep=0 addr=0050 data=00000000 esperado=00000000 PASS
ciclo=99 rep=0 addr=0051 data=00000000 esperado=00000000 PASS
ciclo=100 rep=0 addr=0052 data=00000000 esperado=00000000 PASS
ciclo=101 rep=0 addr=0053 data=00000000 esperado=00000000 PASS
ciclo=102 rep=0 addr=0054 data=00000000 esperado=00000000 PASS
ciclo=103 rep=0 addr=0055 data=00000000 esperado=00000000 PASS
ciclo=104 rep=0 addr=0056 data=00000000 esperado=00000000 PASS
ciclo=105 rep=0 addr=0057 data=00000000 esperado=00000000 PASS
ciclo=106 rep=0 addr=0058 data=00000000 esperado=00000000 PASS
ciclo=107 rep=0 addr=0059 data=00000000 esperado=00000000 PASS
ciclo=108 rep=0 addr=005a data=00000000 esperado=00000000 PASS
ciclo=109 rep=0 addr=005b data=00000000 esperado=00000000 PASS
ciclo=110 rep=0 addr=005c data=00000000 esperado=00000000 PASS
ciclo=111 rep=0 addr=005d data=00000000 esperado=00000000 PASS
ciclo=112 rep=0 addr=005e data=00000000 esperado=00000000 PASS
ciclo=113 rep=0 addr=005f data=00000000 esperado=00000000 PASS
ciclo=114 rep=0 addr=0060 data=00000000 esperado=00000000 PASS
ciclo=115 rep=0 addr=0061 data=00000000 esperado=00000000 PASS
ciclo=116 rep=0 addr=0062 data=00000000 esperado=00000000 PASS
ciclo=117 rep=0 addr=0063 data=00000000 esperado=00000000 PASS
ciclo=118 rep=0 addr=0064 data=00000000 esperado=00000000 PASS
ciclo=119 rep=0 addr=0065 data=00000000 esperado=00000000 PASS
ciclo=120 rep=0 addr=0066 data=00000000 esperado=00000000 PASS
ciclo=121 rep=0 addr=0067 data=00000000 esperado=00000000 PASS
